no,tingkat_pendidikan,Usia,nama_prodi,Pengalaman Kerja,Sertifikat,disabilitas,status_pernikahan,jumlah_anak
571,Strata I (S1),33,Teknik Informatika,"{""Information Technology (IT)""}",tidak ada,f,Menikah,2
572,SMK / MAK / Sederajat,32,Teknik Otomotif,tidak ada,tidak ada,f,Menikah,0
573,Strata I (S1),48,Manajemen Pemerintah,tidak ada,tidak ada,f,Menikah,2
574,SMK / MAK / Sederajat,24,Teknik Kendaraan Ringan,tidak ada,tidak ada,f,Belum menikah,0
575,SMK / MAK / Sederajat,25,Akuntansi,"{""Lain - Lain""}",ada,f,Belum menikah,0
576,SLTA / MA / Sederajat,29,IPS,"{""Lain - Lain""}",tidak ada,f,Menikah,1
577,Strata I (S1),23,Perikanan,tidak ada,tidak ada,f,Belum menikah,0
578,Strata I (S1),28,Ilmu Hukum,"{""TENAGA TATA USAHA""}",ada,f,Belum menikah,0
579,Strata I (S1),28,Manajemen,tidak ada,tidak ada,f,Belum menikah,2
580,SMK / MAK / Sederajat,25,Komputerisasi Akuntansi,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",ada,f,Belum menikah,0
581,SLTA / MA / Sederajat,21,Pendidikan Agama Islam,tidak ada,tidak ada,f,Belum menikah,0
582,SLTA / MA / Sederajat,20,IPS,tidak ada,tidak ada,f,Belum menikah,0
583,Diploma IV,37,Kebidanan,{Pendidikan},tidak ada,f,Menikah,2
584,Diploma IV,28,Teknik Sipil,tidak ada,tidak ada,f,Menikah,2
585,Diploma IV,26,Teknik Elektro,tidak ada,tidak ada,f,Belum menikah,0
586,Strata I (S1),32,Arsitektur,{{Arsitektur}tur},tidak ada,f,Menikah,1
587,Strata I (S1),24,Manajemen Pemasaran,tidak ada,tidak ada,f,Belum menikah,0
588,Strata I (S1),27,Manajemen Pendidikan,tidak ada,tidak ada,f,Belum menikah,0
589,Strata I (S1),31,Manajemen,{Akunting},tidak ada,f,Belum menikah,0
590,Strata I (S1),31,Farmasi,tidak ada,tidak ada,f,Belum menikah,0
591,Strata I (S1),33,Pendidikan Guru Sekolah Dasar,{Pendidikan},tidak ada,f,Menikah,1
592,SLTA / MA / Sederajat,27,Ilmu Teknik Sipil,tidak ada,tidak ada,f,Belum menikah,0
593,SLTA / MA / Sederajat,28,Arsitektur,"{""Lain - Lain""}",tidak ada,f,Menikah,1
594,Strata I (S1),28,Manajemen,"{""Lain - Lain""}",ada,f,Belum menikah,0
595,Strata I (S1),24,Ekonomi Islam,tidak ada,tidak ada,f,Belum menikah,0
596,Strata I (S1),24,Teknologi Informasi,tidak ada,tidak ada,f,Belum menikah,0
597,SLTP / MTs / Sederajat,22,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
598,Strata I (S1),30,Akuntansi,"{""TENAGA TATA USAHA""}",ada,f,Belum menikah,0
599,Strata I (S1),28,Ilmu Administrasi Niaga,tidak ada,tidak ada,f,Menikah,1
600,Strata I (S1),37,Sistem Informasi,{Akunting},tidak ada,f,Duda,1
601,Diploma III,28,Listrik,{Kesehatan},tidak ada,f,Menikah,0
602,Strata I (S1),27,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
603,Strata I (S1),25,Kimia,"{""Lain - Lain""}",ada,f,Belum menikah,0
604,Strata I (S1),23,Sistem Informasi,"{""Information Technology (IT)""}",ada,f,Belum menikah,0
605,Strata I (S1),32,Agroteknologi,tidak ada,tidak ada,f,Menikah,1
606,Strata I (S1),24,Teknik Industri,tidak ada,ada,f,Belum menikah,0
607,SLTA / MA / Sederajat,22,IPA,tidak ada,tidak ada,f,Belum menikah,0
608,Strata I (S1),29,Ilmu Komunikasi,tidak ada,tidak ada,f,Belum menikah,0
609,Strata I (S1),25,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
610,Strata I (S1),35,Psikologi,"{""Perbankan / Keuangan""}",tidak ada,f,Menikah,1
611,Strata I (S1),26,Teknik Elektro,tidak ada,ada,f,Belum menikah,0
612,Strata I (S1),35,Teknik Mesin,tidak ada,tidak ada,f,Menikah,1
613,SMK / MAK / Sederajat,21,Komputer Multimedia,tidak ada,tidak ada,f,Belum menikah,0
614,Strata II (Magister/S2),28,Ilmu Komunikasi,{Akunting},tidak ada,f,Belum menikah,0
615,Strata I (S1),47,Teknik Elektro,"{""Information Technology (IT)""}",ada,f,Menikah,2
616,SMK / MAK / Sederajat,21,Listrik,tidak ada,tidak ada,f,Belum menikah,0
617,SLTA / MA / Sederajat,40,IPS,tidak ada,tidak ada,f,Menikah,2
618,SLTA / MA / Sederajat,24,IPS,tidak ada,ada,f,Belum menikah,0
619,Strata I (S1),25,Ekonomi Islam,tidak ada,tidak ada,f,Belum menikah,0
620,Diploma III,33,Teknik Mesin,{Teknik},tidak ada,f,Menikah,0
621,SLTA / MA / Sederajat,22,IPS,tidak ada,tidak ada,f,Belum menikah,0
622,Strata I (S1),24,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
623,SLTP / MTs / Sederajat,41,Manajemen,tidak ada,tidak ada,f,Menikah,2
624,Strata I (S1),25,Hubungan Internasional,tidak ada,tidak ada,f,Belum menikah,0
625,Strata I (S1),49,Pendidikan Guru Pendidikan Anak Usia Dini,tidak ada,tidak ada,f,Janda,3
626,Strata I (S1),34,Pendidikan Seni Rupa,tidak ada,tidak ada,f,Menikah,1
627,Diploma IV,32,Teknik Perkapalan,{Teknik},ada,f,Menikah,3
628,Strata I (S1),31,Ilmu Administrasi Negara,{{Arsitektur}tur},tidak ada,f,Menikah,1
629,Diploma III,25,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
630,SMK / MAK / Sederajat,26,Teknik Listrik Industri,tidak ada,tidak ada,f,Belum menikah,0
631,Strata I (S1),35,Matematika,"{""Lain - Lain""}",tidak ada,f,Menikah,1
632,SMK / MAK / Sederajat,23,Akuntansi,{Akunting},ada,f,Belum menikah,0
633,Strata I (S1),32,Sastra Jepang,"{""Perbankan / Keuangan""}",tidak ada,f,Duda,0
634,SMK / MAK / Sederajat,22,Teknik Komputer,tidak ada,tidak ada,f,Belum menikah,0
635,Strata I (S1),27,Ilmu Keperawatan,tidak ada,tidak ada,f,Belum menikah,0
636,SLTA / MA / Sederajat,25,IPA,"{""Lain - Lain""}",tidak ada,f,Belum menikah,0
637,Strata I (S1),30,Statistika,{Kesehatan},tidak ada,f,Menikah,1
638,Strata I (S1),26,Teknik Informatika,"{""Information Technology (IT)""}",tidak ada,f,Belum menikah,0
639,SMK / MAK / Sederajat,23,Listrik,tidak ada,tidak ada,f,Belum menikah,0
640,SMK / MAK / Sederajat,23,Teknik Mesin,tidak ada,tidak ada,f,Belum menikah,0
641,Strata I (S1),28,Manajemen,tidak ada,tidak ada,f,Menikah,0
642,SLTA / MA / Sederajat,32,IPS,tidak ada,tidak ada,f,Menikah,1
643,Strata I (S1),31,Ilmu Hukum,tidak ada,tidak ada,f,Belum menikah,0
644,SMK / MAK / Sederajat,36,Teknik Mesin,tidak ada,tidak ada,f,Menikah,1
645,Strata I (S1),36,Ilmu Administrasi Publik,tidak ada,tidak ada,f,Menikah,0
646,SLTA / MA / Sederajat,40,IPA,tidak ada,tidak ada,f,Menikah,1
647,Strata I (S1),32,Pendidikan Bahasa Inggris,tidak ada,tidak ada,f,Menikah,2
648,SMK / MAK / Sederajat,26,Administrasi,tidak ada,tidak ada,f,Menikah,0
649,SLTA / MA / Sederajat,32,IPA,tidak ada,tidak ada,f,Janda,1
650,SLTA / MA / Sederajat,22,Listrik,tidak ada,tidak ada,f,Belum menikah,0
651,Strata I (S1),28,Manajemen,{{Arsitektur}tur},ada,f,Belum menikah,0
652,Strata I (S1),30,Manajemen,tidak ada,tidak ada,f,Menikah,1
653,SLTA / MA / Sederajat,21,Teknik Komputer,tidak ada,tidak ada,f,Belum menikah,0
654,Strata I (S1),22,Psikologi,tidak ada,tidak ada,f,Belum menikah,0
655,Strata I (S1),26,Ekonomi Pembangunan,tidak ada,tidak ada,f,Menikah,1
656,Diploma III,28,Akuntansi,tidak ada,ada,f,Menikah,0
657,SMK / MAK / Sederajat,19,Profesi Akuntan,tidak ada,tidak ada,f,Belum menikah,0
658,Strata I (S1),30,Manajemen,"{""Perbankan / Keuangan""}",tidak ada,f,Belum menikah,0
659,SLTA / MA / Sederajat,22,IPA,tidak ada,tidak ada,f,Belum menikah,0
660,Strata I (S1),27,Ilmu Hukum,tidak ada,tidak ada,f,Belum menikah,0
661,Strata I (S1),25,Teknik Mesin,{Teknik},ada,f,Menikah,0
662,Diploma IV,27,Teknik Mesin,"{""Perbankan / Keuangan""}",tidak ada,f,Menikah,0
663,Strata I (S1),26,Administrasi Rumah Sakit,tidak ada,ada,f,Belum menikah,0
664,Strata I (S1),24,Manajemen,tidak ada,ada,f,Belum menikah,0
665,Strata I (S1),30,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
666,Strata I (S1),29,Pendidikan Fisika,tidak ada,tidak ada,f,Belum menikah,0
667,Strata I (S1),29,Sistem Informasi,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",tidak ada,f,Belum menikah,0
668,Strata I (S1),28,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
669,Strata I (S1),26,Seni Tari,"{""Perbankan / Keuangan""}",ada,f,Belum menikah,0
670,Strata I (S1),34,Teknik Mesin,{{Arsitektur}tur},tidak ada,f,Menikah,1
671,Diploma II,36,Teknik Informatika,tidak ada,tidak ada,f,Menikah,2
672,Diploma III,27,Ketatalaksanaan Pelayaran Niaga Dan Kepelabuhan,tidak ada,tidak ada,f,Belum menikah,0
673,SMK / MAK / Sederajat,24,Kepariwisataan,"{""TENAGA PENGOLAHAN DAN KERAJINAN YANG BERHUBUNGAN DENGAN ITU""}",tidak ada,f,Belum menikah,0
674,Strata I (S1),26,Manajemen,tidak ada,tidak ada,f,Menikah,0
675,Strata I (S1),33,Pendidikan Matematika,tidak ada,tidak ada,f,Menikah,0
676,Strata I (S1),29,Teknik Industri,tidak ada,tidak ada,t,Belum menikah,0
677,SLTA / MA / Sederajat,33,IPS,"{""Lain - Lain""}",tidak ada,f,Menikah,1
678,SMK / MAK / Sederajat,29,Ilmu Komunikasi,tidak ada,tidak ada,f,Menikah,0
679,Strata I (S1),31,Ilmu Ekonomi,tidak ada,ada,f,Belum menikah,0
680,Strata I (S1),31,Teknik Komputer,tidak ada,tidak ada,f,Menikah,0
681,Strata I (S1),28,Teknik Mesin,{Teknik},ada,f,Menikah,0
682,Strata I (S1),24,Ilmu Kesehatan Masyarakat,tidak ada,tidak ada,f,Belum menikah,0
683,Strata I (S1),28,Ilmu Hukum,tidak ada,tidak ada,f,Belum menikah,0
684,SMK / MAK / Sederajat,20,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
685,Diploma II,22,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
686,Strata I (S1),30,Manajemen Pendidikan,"{""TENAGA TATA USAHA""}",tidak ada,f,Belum menikah,0
687,Strata I (S1),29,Teknik Informatika,{Pendidikan},tidak ada,f,Belum menikah,0
688,SMK / MAK / Sederajat,26,Administrasi Perkantoran,tidak ada,tidak ada,f,Belum menikah,0
689,SMK / MAK / Sederajat,20,IPA,tidak ada,tidak ada,f,Belum menikah,0
690,Strata I (S1),26,Ilmu Kesehatan Masyarakat,tidak ada,ada,f,Belum menikah,0
691,Strata I (S1),33,Manajemen,tidak ada,tidak ada,f,Menikah,1
692,Strata I (S1),23,Manajemen,tidak ada,ada,f,Belum menikah,0
693,SLTA / MA / Sederajat,25,Akuntansi,"{""Lain - Lain""}",ada,f,Belum menikah,0
694,SMK / MAK / Sederajat,30,Perhotelan,tidak ada,tidak ada,f,Belum menikah,0
695,SMK / MAK / Sederajat,35,Teknik Elektro,tidak ada,tidak ada,f,Menikah,1
696,Strata I (S1),29,Akuntansi,"{""TENAGA PROFESIONAL""}",ada,f,Menikah,0
697,SMK / MAK / Sederajat,20,IPA,tidak ada,tidak ada,f,Belum menikah,0
698,Diploma I,39,Pendidikan Guru Pendidikan Anak Usia Dini,tidak ada,tidak ada,f,Janda,2
699,Diploma IV,25,Teknik Telekomunikasi,"{""Information Technology (IT)""}",ada,f,Belum menikah,0
700,SMK / MAK / Sederajat,27,Teknik Komputer,"{""Information Technology (IT)""}",ada,f,Belum menikah,0
701,SMK / MAK / Sederajat,25,Teknologi Informasi,"{""Information Technology (IT)""}",ada,f,Belum menikah,0
702,SLTP / MTs / Sederajat,27,Umum,"{""PEKERJA KASAR, TENAGA KEBERSIHAN, DAN TENAGA YANG BERHUBUNGAN DENGAN ITU""}",tidak ada,f,Belum menikah,0
703,Diploma I,39,Teknik Informatika,tidak ada,tidak ada,f,Menikah,3
704,SLTA / MA / Sederajat,27,Umum,tidak ada,tidak ada,f,Menikah,1
705,SMK / MAK / Sederajat,29,Teknik Komputer,tidak ada,tidak ada,f,Menikah,1
706,SMK / MAK / Sederajat,34,Ilmu Teknik Sipil,tidak ada,tidak ada,f,Menikah,2
707,Diploma III,34,Ilmu Keperawatan,tidak ada,tidak ada,f,Duda,0
708,SLTA / MA / Sederajat,41,Manajemen,"{""Lain - Lain""}",tidak ada,f,Menikah,3
709,Diploma I,23,Perpajakan,tidak ada,tidak ada,f,Belum menikah,0
710,SMK / MAK / Sederajat,20,Teknik Sipil,"{""Lain - Lain""}",ada,f,Belum menikah,0
711,SMK / MAK / Sederajat,19,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
712,Strata II (Magister/S2),35,Matematika,{Marketing},ada,f,Menikah,1
713,Strata I (S1),31,Sastra Inggris,"{""Pariwisata dan Perhotelan""}",ada,f,Menikah,1
714,Strata I (S1),25,IPA,tidak ada,tidak ada,f,Belum menikah,0
715,SMK / MAK / Sederajat,28,Teknik Mesin,tidak ada,tidak ada,f,Menikah,2
716,SMK / MAK / Sederajat,21,Tata Boga,tidak ada,tidak ada,f,Belum menikah,0
717,SMK / MAK / Sederajat,20,Teknik Mesin,tidak ada,tidak ada,t,Belum menikah,0
718,SMK / MAK / Sederajat,22,Listrik,tidak ada,tidak ada,f,Belum menikah,0
719,Strata II (Magister/S2),42,Manajemen,"{""Lain - Lain""}",tidak ada,f,Menikah,1
720,SMK / MAK / Sederajat,33,Akuntansi,tidak ada,tidak ada,f,Menikah,0
721,SLTA / MA / Sederajat,37,IPS,tidak ada,tidak ada,f,Menikah,0
722,Diploma I,45,Komputerisasi Akuntansi,tidak ada,tidak ada,f,Menikah,2
723,Strata I (S1),28,Teknik Sipil,"{""TEKNISI DAN ASISTEN TENAGA PROFESIONAL""}",ada,f,Menikah,1
724,Strata I (S1),28,Akuntansi,"{""Lain - Lain""}",ada,f,Menikah,0
725,Strata II (Magister/S2),35,Manajemen,"{""Information Technology (IT)""}",tidak ada,f,Menikah,0
726,Strata I (S1),24,Teknik Elektro,tidak ada,tidak ada,f,Belum menikah,0
727,Strata I (S1),42,Teknik Elektro,"{""Information Technology (IT)""}",tidak ada,f,Menikah,1
728,Strata I (S1),27,Teknik Kimia,"{""Lain - Lain""}",ada,f,Belum menikah,0
729,Strata I (S1),35,Pendidikan Bahasa Inggris,{Akunting},tidak ada,f,Menikah,2
730,SLTA / MA / Sederajat,25,Pendidikan Islam,tidak ada,tidak ada,f,Belum menikah,0
731,SLTA / MA / Sederajat,21,Teknik Otomotif,tidak ada,ada,f,Belum menikah,0
732,SLTA / MA / Sederajat,34,IPS,{Kesehatan},tidak ada,f,Menikah,2
733,Strata I (S1),25,Ilmu Hukum,tidak ada,ada,f,Belum menikah,0
734,SLTA / MA / Sederajat,37,IPS,tidak ada,tidak ada,f,Menikah,2
735,SMK / MAK / Sederajat,19,Manajemen Perusahaan,tidak ada,tidak ada,f,Belum menikah,0
736,SLTP / MTs / Sederajat,44,Tata Boga,tidak ada,tidak ada,f,Menikah,2
737,Strata I (S1),26,Perbankan Syariah,tidak ada,tidak ada,f,Belum menikah,0
738,Strata I (S1),26,Manajemen,"{""Lain - Lain""}",ada,f,Belum menikah,0
739,SMK / MAK / Sederajat,22,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
740,Strata I (S1),31,Pendidikan Guru Pendidikan Anak Usia Dini,tidak ada,tidak ada,f,Menikah,1
741,SLTA / MA / Sederajat,29,IPS,tidak ada,tidak ada,f,Menikah,0
742,SMK / MAK / Sederajat,26,Teknik Elektro,tidak ada,tidak ada,f,Belum menikah,0
743,Diploma III,26,Keperawatan,tidak ada,tidak ada,f,Menikah,0
744,Strata I (S1),30,Teknik Informatika,"{""Information Technology (IT)""}",ada,f,Menikah,1
745,SMK / MAK / Sederajat,30,Teknik Komputer,tidak ada,tidak ada,f,Menikah,1
746,SLTA / MA / Sederajat,23,IPA,"{""Lain - Lain""}",tidak ada,f,Belum menikah,0
747,SMK / MAK / Sederajat,22,Administrasi Perkantoran,tidak ada,tidak ada,f,Belum menikah,0
748,SMK / MAK / Sederajat,32,Komputer Multimedia,tidak ada,tidak ada,f,Menikah,2
749,SMK / MAK / Sederajat,36,Teknik Mesin,"{""OPERATOR DAN PERAKIT MESIN""}",tidak ada,f,Menikah,1
750,SMK / MAK / Sederajat,26,Teknik Otomotif,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",tidak ada,f,Menikah,1
751,Strata I (S1),42,Manajemen,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",tidak ada,f,Menikah,0
752,Strata I (S1),36,Teknik Informatika,"{""Information Technology (IT)""}",tidak ada,f,Menikah,1
753,SMK / MAK / Sederajat,23,Teknik Otomotif,tidak ada,tidak ada,f,Belum menikah,0
754,SLTA / MA / Sederajat,23,IPS,tidak ada,tidak ada,f,Belum menikah,0
755,Strata I (S1),29,Ilmu Hukum,tidak ada,tidak ada,f,Belum menikah,0
756,SLTA / MA / Sederajat,29,IPA,tidak ada,tidak ada,f,Menikah,1
757,Strata I (S1),24,Psikologi,tidak ada,tidak ada,f,Belum menikah,0
758,SLTA / MA / Sederajat,25,IPA,tidak ada,tidak ada,f,Belum menikah,0
759,SMK / MAK / Sederajat,20,Teknik Mesin,tidak ada,tidak ada,f,Belum menikah,0
760,SMK / MAK / Sederajat,35,Manajemen,tidak ada,tidak ada,f,Menikah,1
761,SMK / MAK / Sederajat,37,Administrasi Perkantoran,tidak ada,tidak ada,f,Menikah,1
762,Strata I (S1),26,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
763,SMK / MAK / Sederajat,30,Farmasi,tidak ada,tidak ada,f,Belum menikah,0
764,SMK / MAK / Sederajat,26,Teknik Informatika,"{""Information Technology (IT)""}",ada,f,Belum menikah,0
765,Diploma III,36,Manajemen Pemasaran,{Marketing},tidak ada,f,Menikah,0
766,SMK / MAK / Sederajat,19,Teknik Otomotif,tidak ada,tidak ada,f,Belum menikah,0
767,SMK / MAK / Sederajat,20,Teknik Informatika,tidak ada,tidak ada,f,Belum menikah,0
768,SMK / MAK / Sederajat,26,Teknik Kimia,tidak ada,tidak ada,f,Belum menikah,0
769,Strata I (S1),24,Psikologi,"{""TENAGA USAHA PERTANIAN DAN PETERNAKAN""}",ada,f,Belum menikah,0
770,SMK / MAK / Sederajat,22,Desain Grafis,tidak ada,tidak ada,f,Belum menikah,0
771,SMK / MAK / Sederajat,18,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
772,SMK / MAK / Sederajat,37,Teknik Mesin,tidak ada,tidak ada,f,Menikah,2
773,SMK / MAK / Sederajat,34,Akuntansi,tidak ada,tidak ada,f,Menikah,1
774,Strata I (S1),26,Teknik Industri,tidak ada,tidak ada,f,Menikah,0
775,SLTA / MA / Sederajat,22,IPS,tidak ada,tidak ada,f,Belum menikah,0
776,SLTA / MA / Sederajat,28,IPS,tidak ada,tidak ada,f,Belum menikah,0
777,Strata I (S1),26,Psikologi,"{""Information Technology (IT)""}",tidak ada,f,Menikah,1
778,SLTA / MA / Sederajat,31,IPS,tidak ada,tidak ada,f,Belum menikah,0
779,Strata I (S1),25,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
780,Strata I (S1),26,Sosiologi,tidak ada,tidak ada,f,Belum menikah,0
781,Strata I (S1),28,Teknologi Pendidikan,"{""TENAGA PROFESIONAL""}",tidak ada,f,Belum menikah,0
782,SMK / MAK / Sederajat,38,Teknik Otomotif,tidak ada,tidak ada,f,Menikah,1
783,Strata I (S1),30,Manajemen,{Akunting},tidak ada,f,Menikah,1
784,SMK / MAK / Sederajat,35,Desain Komunikasi Visual,tidak ada,tidak ada,f,Menikah,2
785,Strata II (Magister/S2),30,Matematika,"{""Lain - Lain""}",ada,f,Menikah,1
786,SMK / MAK / Sederajat,22,Sistem Informasi,tidak ada,tidak ada,f,Belum menikah,0
787,SLTA / MA / Sederajat,25,IPA,"{""TENAGA PROFESIONAL""}",tidak ada,f,Belum menikah,0
788,Strata I (S1),27,Umum,"{""TENAGA TATA USAHA""}",tidak ada,f,Belum menikah,0
789,SMK / MAK / Sederajat,38,Bahasa dan Sastra Indonesia,tidak ada,tidak ada,f,Menikah,1
790,Strata I (S1),26,Fisika,"{""Lain - Lain""}",tidak ada,f,Menikah,0
791,SMK / MAK / Sederajat,24,Perhotelan,"{""Lain - Lain""}",tidak ada,f,Menikah,0
792,SMK / MAK / Sederajat,25,Komputer Multimedia,tidak ada,tidak ada,f,Belum menikah,0
793,Strata I (S1),23,Hubungan Internasional,tidak ada,tidak ada,f,Belum menikah,0
794,SMK / MAK / Sederajat,23,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
795,Strata I (S1),23,Sastra Inggris,tidak ada,tidak ada,f,Belum menikah,0
796,Strata I (S1),26,Psikologi,tidak ada,tidak ada,f,Belum menikah,0
797,Strata I (S1),29,Sistem Informasi,tidak ada,tidak ada,f,Belum menikah,0
798,SMK / MAK / Sederajat,34,Teknik Komputer,tidak ada,tidak ada,f,Menikah,1
799,SLTA / MA / Sederajat,39,Manajemen,tidak ada,tidak ada,f,Duda,1
800,SMK / MAK / Sederajat,25,Akuntansi,{Marketing},ada,f,Belum menikah,0
801,Strata I (S1),25,Pendidikan Matematika,tidak ada,tidak ada,f,Belum menikah,0
802,Diploma III,34,Administrasi,{Marketing},tidak ada,f,Menikah,2
803,SMK / MAK / Sederajat,26,Listrik,tidak ada,tidak ada,f,Belum menikah,0
804,Diploma IV,25,Teknik Sipil,{Teknik},tidak ada,f,Belum menikah,0
805,Strata I (S1),30,Psikologi,tidak ada,tidak ada,f,Belum menikah,0
806,SMK / MAK / Sederajat,30,Teknik Otomotif,tidak ada,tidak ada,f,Menikah,1
807,SMK / MAK / Sederajat,30,Teknik Komputer,tidak ada,tidak ada,f,Belum menikah,0
808,Diploma III,24,Teknik Manufaktur,tidak ada,tidak ada,f,Belum menikah,0
809,SMK / MAK / Sederajat,24,Teknik Komputer,tidak ada,tidak ada,f,Belum menikah,0
810,SMK / MAK / Sederajat,21,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
811,Strata I (S1),26,Perbandingan Agama,tidak ada,tidak ada,f,Belum menikah,0
812,SMK / MAK / Sederajat,21,Teknik Otomotif,{Teknik},tidak ada,f,Belum menikah,0
813,SMK / MAK / Sederajat,32,Teknik Otomotif,{{Arsitektur}tur},ada,f,Belum menikah,0
814,SMK / MAK / Sederajat,22,Akuntansi,"{""TENAGA USAHA JASA DAN TENAGA PENJUALAN DI TOKO DAN PASAR""}",tidak ada,f,Belum menikah,0
815,Diploma III,31,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
816,SMK / MAK / Sederajat,45,Teknik Elektro,tidak ada,tidak ada,f,Menikah,1
817,SMK / MAK / Sederajat,22,Teknik Komputer,tidak ada,tidak ada,f,Belum menikah,0
818,SMK / MAK / Sederajat,30,Ilmu Komunikasi,tidak ada,ada,f,Menikah,1
819,SMK / MAK / Sederajat,26,Komputer Multimedia,tidak ada,tidak ada,f,Belum menikah,0
820,Strata I (S1),25,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
821,SMK / MAK / Sederajat,33,IPA,tidak ada,tidak ada,f,Menikah,1
822,Diploma III,24,Perpajakan,tidak ada,tidak ada,f,Belum menikah,0
823,Strata I (S1),32,Manajemen,"{""Lain - Lain""}",tidak ada,f,Duda,0
824,Strata II (Magister/S2),28,Manajemen,"{""Lain - Lain""}",ada,f,Belum menikah,0
825,Strata I (S1),27,Manajemen,{Akunting},ada,f,Belum menikah,0
826,Strata I (S1),26,Teknik Industri,{Teknik},ada,f,Belum menikah,0
827,Strata I (S1),27,Teknik Industri,tidak ada,tidak ada,f,Belum menikah,0
828,Diploma III,22,Teknik Otomotif,tidak ada,tidak ada,f,Belum menikah,0
829,SLTA / MA / Sederajat,32,Ilmu Kesejahteraan Sosial,tidak ada,tidak ada,f,Belum menikah,0
830,SLTA / MA / Sederajat,24,Teknik Mesin,tidak ada,tidak ada,f,Belum menikah,0
831,Diploma I,48,Administrasi,tidak ada,tidak ada,f,Menikah,2
832,SMK / MAK / Sederajat,22,Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
833,SMK / MAK / Sederajat,22,Televisi dan Film,tidak ada,tidak ada,f,Belum menikah,0
834,Strata I (S1),25,Teknik Elektronika,tidak ada,tidak ada,f,Belum menikah,0
835,Strata I (S1),30,Manajemen,"{""Lain - Lain""}",tidak ada,f,Menikah,1
836,Strata I (S1),35,Sistem Informasi,{{Arsitektur}tur},tidak ada,f,Menikah,2
837,Strata I (S1),36,Akuntansi,tidak ada,tidak ada,f,Menikah,2
838,Strata I (S1),33,Manajemen,tidak ada,tidak ada,f,Menikah,2
839,SMK / MAK / Sederajat,23,Tata Busana,tidak ada,tidak ada,f,Belum menikah,0
840,SLTA / MA / Sederajat,35,IPA,tidak ada,tidak ada,f,Menikah,2
841,SLTA / MA / Sederajat,24,IPS,tidak ada,tidak ada,t,Belum menikah,0
842,SLTA / MA / Sederajat,36,IPA,tidak ada,tidak ada,f,Menikah,2
843,Strata I (S1),31,Ekonomi Pembangunan,tidak ada,tidak ada,f,Belum menikah,0
844,Strata I (S1),26,Pendidikan Biologi,tidak ada,tidak ada,f,Belum menikah,0
845,Strata I (S1),28,Manajemen,tidak ada,tidak ada,f,Belum menikah,0
846,SMK / MAK / Sederajat,26,Komputerisasi Akuntansi,tidak ada,tidak ada,f,Belum menikah,0
847,SMK / MAK / Sederajat,24,Komputer Grafis dan Cetak,tidak ada,tidak ada,f,Menikah,1
848,SMK / MAK / Sederajat,23,Tata Busana,tidak ada,tidak ada,f,Belum menikah,0
849,SMK / MAK / Sederajat,33,Teknik Otomotif,tidak ada,tidak ada,f,Belum menikah,0
850,Strata I (S1),25,Ilmu Kesehatan Masyarakat,tidak ada,tidak ada,f,Belum menikah,0
851,Strata I (S1),28,Ekonomi Pembangunan,"{""Lain - Lain""}",tidak ada,f,Belum menikah,0
852,SMK / MAK / Sederajat,21,Tata Busana,tidak ada,tidak ada,f,Belum menikah,0
853,Strata I (S1),30,Profesi Ners,tidak ada,tidak ada,f,Belum menikah,0
854,Diploma III,39,Bahasa Inggris,tidak ada,tidak ada,f,Menikah,2
855,Strata I (S1),26,Pendidikan Fisika,tidak ada,tidak ada,f,Belum menikah,0
856,Strata I (S1),27,Sistem Informasi,tidak ada,tidak ada,f,Belum menikah,0
857,SMK / MAK / Sederajat,19,Manajemen,"{""Perbankan / Keuangan""}",ada,f,Belum menikah,0
858,Strata I (S1),24,Sastra Inggris,tidak ada,tidak ada,f,Belum menikah,0
859,SMK / MAK / Sederajat,22,Sosial Ekonomi Pertanian,tidak ada,tidak ada,f,Belum menikah,0
860,SMK / MAK / Sederajat,21,Teknik Kendaraan Ringan,tidak ada,tidak ada,f,Belum menikah,0
